word	pos	cefr	cefr_all	list
temporarily	adv	B2	B2	oxford5000
temporary	adj	B2	B2	oxford3000
tempt	v	C1	C1	oxford5000
ten	number	A1	A1	oxford3000
tenant	n	C1	C1	oxford5000
tend	v	B1	B1	oxford3000
tendency	n	B2	B2	oxford5000
tender	adj	C1	C1	oxford5000
tennis	n	A1	A1	oxford3000
tension	n	B2	B2	oxford5000
tent	n	B1	B1	oxford3000
tenure	n	C1	C1	oxford5000
term	n|v	A2	A2|B2	oxford3000
terminal n	adj	B2	B2|C1	oxford5000
terminate	v	C1	C1	oxford5000
terms	n	B2	B2	oxford5000
terrain	n	C1	C1	oxford5000
terrible	adj	A1	A1	oxford3000
terribly	adv	B2	B2	oxford5000
terrific	adj	C1	C1	oxford5000
terrify	v	B2	B2	oxford5000
territory	n	B2	B2	oxford5000
terror	n	B2	B2	oxford5000
terrorism	n	B2	B2	oxford5000
terrorist	n	B2	B2	oxford5000
test	n|v	A1	A1	oxford3000
testify	v	C1	C1	oxford5000
testimony	n	C1	C1	oxford5000
testing	n	B2	B2	oxford5000
text	n|v	A1	A1|A2	oxford3000
textbook	n	B2	B2	oxford5000
texture	n	C1	C1	oxford5000
than	conj	A1	A1	oxford3000
thank	v	A1	A1	oxford3000
thankfully	adv	C1	C1	oxford5000
thanks	exclam|n	A1	A1	oxford3000
that	det|pron|conj|adv	A1	A1|B1	oxford3000
the	definite article	A1	A1	oxford3000
theatre	n	A1	A1	oxford3000
theatrical	adj	C1	C1	oxford5000
theft	n	B2	B2	oxford5000
their	det	A1	A1	oxford3000
theirs	pron	B1	B1	oxford3000
them	pron	A1	A1	oxford3000
theme	n	B1	B1	oxford3000
themselves	pron	A2	A2	oxford3000
then	adv	A1	A1	oxford3000
theology	n	C1	C1	oxford5000
theoretical	adj	C1	C1	oxford5000
theory	n	B1	B1	oxford3000
therapist	n	B2	B2	oxford5000
therapy	n	B2	B2	oxford3000
there	adv	A1	A1	oxford3000
thereafter	adv	C1	C1	oxford5000
thereby	adv	C1	C1	oxford5000
therefore	adv	B1	B1	oxford3000
thesis	n	B2	B2	oxford5000
they	pron	A1	A1	oxford3000
thick	adj	A2	A2	oxford3000
thief	n	A2	A2	oxford3000
thin	adj	A2	A2	oxford3000
thing	n	A1	A1	oxford3000
think	v	A1	A1	oxford3000
thinking	n	A2	A2	oxford3000
third	number|n	A1	A1|A2	oxford3000
thirsty	adj	A1	A1	oxford3000
thirteen	number	A1	A1	oxford3000
thirty	number	A1	A1	oxford3000
this	det|pron|adv	A1	A1|B1	oxford3000
thorough	adj	B2	B2	oxford5000
thoroughly	adv	B2	B2	oxford5000
though	conj|adv	B1	B1	oxford3000
thought	n	A2	A2	oxford3000
thought-provoking	adj	C1	C1	oxford5000
thoughtful	adj	C1	C1	oxford5000
thousand	number	A1	A1	oxford3000
thread	n	C1	C1	oxford5000
threat	n	B2	B2	oxford3000
threaten	v	B2	B2	oxford3000
three	number	A1	A1	oxford3000
threshold	n	C1	C1	oxford5000
thrilled	adj	C1	C1	oxford5000
thrive	v	C1	C1	oxford5000
throat	n	B1	B1	oxford3000
through	prep|adv	A1	A1	oxford3000
throughout	prep|adv	B1	B1	oxford3000
throw	v	A2	A2	oxford3000
thumb	n	B2	B2	oxford5000
thursday	n	A1	A1	oxford3000
thus	adv	B2	B2	oxford3000
ticket	n	A1	A1	oxford3000
tide	n	C1	C1	oxford5000
tidy	adj|v	A2	A2	oxford3000
tie	v|n	A2	A2	oxford3000
tight	adj	B1	B1	oxford3000
tighten	v	C1	C1	oxford5000
till	conj|prep	B1	B1	oxford3000
timber	n	C1	C1	oxford5000
time	n|v	A1	A1|B2	oxford3000
timely	adj	C1	C1	oxford5000
