word	pknown	prevalence	nobs
adagio	0.7184	0.572	419
adamancy	0.6483	0.377	381
adamant	0.9602	1.702	377
adamantine	0.6053	0.264	380
adamantly	0.9516	1.617	413
adapt	1.0000	2.576	391
adaptability	0.9930	2.259	427
adaptable	0.9976	2.438	415
adaptation	0.9976	2.441	425
adapter	0.9925	2.243	399
adaption	0.9362	1.489	376
adaptive	0.9878	2.119	411
adaptively	0.9519	1.620	457
adaptor	0.9889	2.145	361
add	1.0000	2.576	414
addable	0.6280	0.323	371
addax	0.0975	-1.273	400
added	0.9910	2.199	443
addend	0.6642	0.419	399
addenda	0.6145	0.288	428
addendum	0.9242	1.405	396
adder	0.8623	1.074	443
addible	0.3352	-0.421	358
addict	1.0000	2.576	399
addicted	1.0000	2.576	375
addictedness	0.7762	0.750	277
addiction	0.9974	2.430	388
addictive	0.9949	2.326	396
addictiveness	0.9689	1.802	418
addition	0.9947	2.315	374
additional	1.0000	2.576	376
additionally	0.9976	2.437	413
additive	0.9920	2.229	375
additively	0.7578	0.691	384
additivity	0.6396	0.354	394
addle	0.7356	0.623	382
addlebrained	0.7579	0.691	409
addled	0.7995	0.829	374
address	0.9950	2.329	401
addressable	0.9019	1.269	428
addressbook	0.7808	0.766	438
addressee	0.9379	1.503	451
addresser	0.8943	1.229	388
addressograph	0.1790	-0.907	391
addressor	0.8412	0.985	403
adduce	0.3580	-0.360	405
adducible	0.3190	-0.465	373
adduct	0.5404	0.100	396
adduction	0.6078	0.271	357
adductive	0.5186	0.046	349
adductor	0.5585	0.146	419
adenine	0.5205	0.051	390
adenitis	0.2734	-0.596	417
adenocarcinoma	0.5570	0.142	149
adenoid	0.7735	0.741	415
adenoidal	0.6569	0.400	376
adenoids	0.8037	0.844	163
adenoma	0.4538	-0.115	368
adenomatous	0.2500	-0.667	144
adenosine	0.4812	-0.047	426
adenoviral	0.4485	-0.128	136
adenovirus	0.4904	-0.024	416
adenylyl	0.1731	-0.929	156
adept	0.9562	1.661	411
adeptly	0.9454	1.562	366
adeptness	0.9221	1.391	385
adequacy	0.9832	2.021	417
adequate	0.9910	2.201	446
adequately	0.9924	2.242	397
adequateness	0.8276	0.932	261
adhere	0.9897	2.166	390
adherence	0.9679	1.789	405
adherent	0.9779	1.929	407
adherently	0.8889	1.200	252
adherer	0.8362	0.965	354
adhesion	0.9653	1.759	404
adhesive	0.9976	2.438	414
adhesively	0.9287	1.436	407
adhesiveness	0.9658	1.764	409
adiabatic	0.2062	-0.809	417
adiabatically	0.2247	-0.747	396
adiaphorous	0.2857	-0.560	413
adieu	0.9095	1.313	409
adieux	0.6102	0.277	354
adipocerous	0.2336	-0.718	428
adipose	0.6272	0.321	389
adiposity	0.4574	-0.106	387
adjacency	0.8546	1.041	392
adjacent	0.9973	2.424	371
adjacently	0.9116	1.326	215
adjectival	0.6226	0.309	371
adjectivally	0.6469	0.373	439
adjective	1.0000	2.576	437
adjectively	0.8341	0.957	416
adjoin	0.9288	1.436	379
adjoined	0.9536	1.635	366
adjoining	0.9808	1.977	469
adjourn	0.9543	1.643	416
adjournment	0.9533	1.633	428
adjudge	0.5383	0.095	392
adjudicate	0.9397	1.516	398
