family,subband,rank,pos_in_band,zipf,prevalence,cefr,gse,awl,pos,members,definition,example
tribe,3k-b,2930,216,3.805,1.0000,B2,,0,n,tribal|tribalism|tribes,,
companion,3k-b,2762,217,3.802,0.9973,C1,,0,n,companionable|companionably|companions|companionship,,
global,3k-b,2559,218,3.800,1.0000,B1,,0,adj,globalisation|globalise|globalised|globalises|globalising|globalism|globalist|globalists|globalization|globalize|globalized|globalizes|globalizing|globally,,
lease,3k-b,2597,219,3.798,0.9920,,,0,n,leased|leaser|leasers|leases|leasing|sublease|subleased|subleases|subleasing,,
overcome,3k-b,2616,220,3.793,0.9924,B2,,0,v,overcame|overcomes|overcoming,,
stain,3k-b,2688,221,3.793,0.9903,,,0,n,stained|staining|stainless|stains|unstained,,
essay,3k-b,2853,222,3.789,1.0000,A2,,0,n,essayist|essayists|essays,,
platform,3k-b,2635,223,3.789,0.9975,A2,,0,n,platforms,,
journalist,3k-b,2633,224,3.786,1.0000,A2,,0,n,journalistic|journalists,,
fiction,3k-b,2783,225,3.785,1.0000,A2,,0,n,fictional|fictions|nonfiction,,
luxury,3k-b,2801,226,3.780,0.9974,B1,,0,n,luxuriance|luxuriant|luxuriantly|luxuries|luxurious|luxuriously,,
eliminate,3k-b,2697,227,3.778,1.0000,B2,,1,v,eliminated|eliminates|eliminating|elimination|eliminations|eliminator|eliminators,,
mortgage,3k-b,2510,228,3.772,0.9895,B2,,0,n,mortgaged|mortgagee|mortgagees|mortgages|mortgaging|mortgagor|mortgagors|remortgage|remortgaged|remortgages|remortgaging|unmortgaged,,
modest,3k-b,2726,229,3.770,0.9933,B2,,0,adj,immodest|immodestly|modestly|modesty|immodesty,,
biological,3k-b,2899,230,3.770,0.9886,B2,,0,adj,biologically,,
accomplish,3k-b,2991,231,3.768,0.9903,B2,,0,v,accomplished|accomplishes|accomplishing|accomplishment|accomplishments,,
cheque,3k-b,2721,232,3.762,,,,0,n,cheques,,
glow,3k-b,2938,233,3.760,0.9972,,,0,n,glowed|glowing|glowingly|glows,,
era,3k-b,2880,234,3.757,0.9927,B2,,0,n,eras,,
resume,3k-b,2927,235,3.756,0.9908,C1,,0,v,resumed|resumes|resuming|resumption,,
craft,3k-b,2750,236,3.754,0.9975,B2,,0,n|v,crafted|crafting|crafts,,
fade,3k-b,2838,237,3.750,0.9953,C1,,0,v,faded|fades|fading|unfaded|unfading,,
scope,3k-b,2601,238,3.750,0.9950,C1,,1,n,scoped|scoping|scopes,,
relieve,3k-b,2792,239,3.747,0.9972,B2,,0,v,relieved|relieves|relieving,,
corridor,3k-b,2798,240,3.747,0.9838,B2,,0,n,corridors,,
execute,3k-b,2562,241,3.745,1.0000,C1,,0,v,executable|executed|executes|executing|execution|executioner|executioners|executions,,
submit,3k-b,2527,242,3.744,1.0000,B2,,1,v,submits|submitted|submitting,,
portrait,3k-b,2755,243,3.736,0.9978,B1,,0,n,portraits|portraiture,,
digital,3k-b,2950,244,3.733,0.9973,A2,,0,adj,digitally,,
addict,3k-b,2967,245,3.730,1.0000,,,0,n,addicted|addicting|addiction|addictions|addictive|addicts|nonaddictive,,
rebel,3k-b,2525,246,3.730,0.9950,C1,,0,n,rebelled|rebelling|rebellings|rebellion|rebellions|rebellious|rebelliously|rebelliousness|rebels,,
evolution,3k-b,2558,247,3.728,0.9953,B2,,0,n,evolutionarily|evolutionary|evolutionism|evolutionist|evolutionists,,
corrupt,3k-b,2857,248,3.726,0.9922,C1,,0,adj,corrupted|corrupter|corrupters|corruptest|corruptible|corrupting|corruption|corruptly|corruptness|corrupts|incorruptible,,
dose,3k-b,2778,249,3.725,0.9749,C1,,0,n,dosage|dosages|dosed|doses|dosing|dosings,,
humour,3k-b,2701,250,3.723,,B2,,0,n,humor|humored|humoredly|humoring|humorless|humorlessly|humorous|humorously|humors|humorist|humorists|humoured|humouredly|humouring|humourless|humourlessly|humourous|humourously|humours,,
sole,3k-b,2509,251,3.722,0.9950,C1,,1,adj,solely,,
greet,3k-b,2734,252,3.722,0.9832,A2,,0,v,greeted|greeting|greetings|greets,,
interior,3k-b,2592,253,3.720,0.9977,C1,,0,adj|n,interiors,,
carbon,3k-b,2787,254,3.720,0.9952,B2,,0,n,carbons,,
offend,3k-b,2661,255,3.718,1.0000,B2,,0,v,offended|offender|offenders|offending|offends,,
mode,3k-b,2508,256,3.713,0.9905,B2,,1,n,modes|modish,,
virtue,3k-b,2774,257,3.713,0.9876,C1,,0,n,virtues|virtuous|virtuously,,
mechanic,3k-b,2606,258,3.705,0.9953,B2,,0,n,mechanical|mechanically|mechanics,,
update,3k-b,2744,259,3.695,0.9977,B1,,0,v|n,updated|updates|updating|updatings,,
abroad,3k-b,2522,260,3.692,0.9950,A2,,0,adv,,,
edition,3k-b,2666,261,3.690,0.9977,B2,,0,n,editions,,
crop,3k-b,2521,262,3.688,0.9956,B2,,0,n,cropped|cropper|croppers|cropping|crops,,
faculty,3k-b,2985,263,3.688,0.9920,C1,,0,n,faculties,,
seize,3k-b,2813,264,3.685,0.9838,C1,,0,v,seized|seizes|seizing,,
fabric,3k-b,2737,265,3.683,0.9949,B2,,0,n,fabrics,,
mild,3k-b,2854,266,3.683,0.9911,B1,,0,adj,milder|mildest|mildly|mildness,,
fierce,3k-b,2823,267,3.681,0.9975,C1,,0,adj,fiercely|fierceness|fiercer|fiercest,,
discount,3k-b,2632,268,3.679,0.9977,B1,,0,n|v,discounted|discounter|discounters|discounting|discounts,,
grain,3k-b,2796,269,3.679,0.9976,B1,,0,n,grained|grains|grainy,,
elaborate,3k-b,2836,270,3.677,0.9893,C1,,0,adj,elaborated|elaborately|elaborateness|elaborates|elaborating|elaboration|elaborations|unelaborated,,
